      1 - stats, VEH, VEH, 155.511910818688, veh.6, rx,(290.229,101.65,0), 28, 
      1 - stats, VEH, VEH, 155.511910818688, vehBack.6, rx,(322.258,98.35,0), 28, 
      1 - stats, VEH, VEH, 155.511910818688, vehBack.7, rx,(346.194,98.35,0), 28, 
      1 - stats, VEH, VEH, 155.709852573083, veh.4, rx,(305.243,101.65,0), 28, 
      1 - stats, VEH, VEH, 155.709852573083, vehBack.5, rx,(314.75,98.35,0), 28, 
      1 - stats, VEH, VEH, 155.709852573083, veh.6, rx,(290.229,101.65,0), 28, 
      1 - stats, VEH, VEH, 155.709852573083, vehBack.6, rx,(322.258,98.35,0), 28, 
      1 - stats, VEH, VEH, 155.709852573083, vehBack.7, rx,(343.226,98.35,0), 28, 
      1 - stats, VEH, VEH, 155.737776004079, veh.4, rx,(305.243,101.65,0), 28, 
      1 - stats, VEH, VEH, 155.737776004079, veh.5, rx,(297.736,101.65,0), 28, 
      1 - stats, VEH, VEH, 155.737776004079, vehBack.5, rx,(314.75,98.35,0), 28, 
      1 - stats, VEH, VEH, 155.737776004079, vehBack.6, rx,(322.258,98.35,0), 28, 
      1 - stats, VEH, VEH, 155.737776004079, vehBack.7, rx,(342.807,98.35,0), 28, 
      1 - stats, VEH, VEH, 160.510364694314, veh.6, rx,(290.229,101.65,0), 32, 
      1 - stats, VEH, VEH, 160.941152697895, veh.4, rx,(305.243,101.65,0), 28, 
      1 - stats, VEH, VEH, 160.941152697895, vehBack.5, rx,(314.75,98.35,0), 28, 
      1 - stats, VEH, VEH, 160.941152697895, veh.6, rx,(290.229,101.65,0), 32, 
      1 - stats, VEH, VEH, 160.941152697895, vehBack.6, rx,(322.258,98.35,0), 28, 
      1 - stats, VEH, VEH, 160.941152697895, vehBack.7, rx,(329.655,98.35,0), 28, 
      1 - stats, VEH, VEH, 161.099896778241, veh.4, rx,(305.243,101.65,0), 28, 
      1 - stats, VEH, VEH, 161.099896778241, veh.5, rx,(297.736,101.65,0), 28, 
      1 - stats, VEH, VEH, 161.099896778241, vehBack.5, rx,(314.75,98.35,0), 28, 
      1 - stats, VEH, VEH, 161.099896778241, veh.6, rx,(290.229,101.65,0), 32, 
